epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9759887456893921,0.2596595585346222,0.10576164722442627,0.031614720821380615,0.04061144217848778,0.0010000000474974513,0.13317914307117462,0.6256722807884216,0.9720498323440552,0.9691603183746338,0.994447648525238,0.982315182685852,0.26756179332733154,0.09122467041015625,0.02439018152654171,0.03829897567629814,0.076591856777668,0.6893491744995117,0.982261061668396,0.9822850823402405,0.9940930008888245
1,0.9836938977241516,0.2728440761566162,0.14249348640441895,0.04843340069055557,0.06457610428333282,0.0010000000474974513,0.07254783064126968,0.6701999306678772,0.9839503169059753,0.983430802822113,0.9946685433387756,0.9823152422904968,0.28758180141448975,0.17157047986984253,0.10453030467033386,0.11853154748678207,0.06887388229370117,0.7740681171417236,0.9847108721733093,0.9790565967559814,0.9949010014533997
2,0.9836936593055725,0.2728632986545563,0.14018352329730988,0.04711541533470154,0.06666753441095352,0.0010000000474974513,0.07882263511419296,0.5706977844238281,0.9842297434806824,0.9813230037689209,0.9947518706321716,0.9823154211044312,0.27544519305229187,0.1538909375667572,0.048828501254320145,0.06781580299139023,0.0702391266822815,0.375605046749115,0.9821675419807434,0.9821917414665222,0.9940780401229858
3,0.9836937785148621,0.27635177969932556,0.14772318303585052,0.05466851592063904,0.07608969509601593,0.0010000000474974513,0.06926483660936356,0.5116106271743774,0.983957827091217,0.9832858443260193,0.9946675300598145,0.9823153614997864,0.2810286581516266,0.17565985023975372,0.09192211180925369,0.09341464191675186,0.06921909749507904,0.38399380445480347,0.9825067520141602,0.9821144342422485,0.9942037463188171
4,0.9837668538093567,0.2891373634338379,0.15707814693450928,0.11304017156362534,0.10632872581481934,0.00020000000949949026,0.06201350688934326,0.4553941488265991,0.9847259521484375,0.9831638336181641,0.9949114322662354,0.9827704429626465,0.30579695105552673,0.17624929547309875,0.18172402679920197,0.13014686107635498,0.05988694727420807,0.4284074306488037,0.9841139316558838,0.9821290969848633,0.994694173336029
5,0.9841809868812561,0.31021472811698914,0.17953309416770935,0.1957249939441681,0.14054936170578003,0.00020000000949949026,0.058975376188755035,0.41722410917282104,0.9860867857933044,0.9825394153594971,0.9953403472900391,0.9829019904136658,0.2981364130973816,0.25063011050224304,0.128078892827034,0.14347128570079803,0.06372138857841492,0.4186789095401764,0.9845113158226013,0.9819177985191345,0.9948362112045288
6,0.9843975901603699,0.31483253836631775,0.20937927067279816,0.2076089233160019,0.15622776746749878,0.00020000000949949026,0.05696934089064598,0.4513164162635803,0.9868311882019043,0.9825094938278198,0.9955833554267883,0.984277606010437,0.33756953477859497,0.2502079904079437,0.2983017861843109,0.1849275380373001,0.053211960941553116,0.7468687295913696,0.9876281023025513,0.9812968373298645,0.9958136081695557
7,0.9843575954437256,0.3273178040981293,0.2427714467048645,0.23121006786823273,0.1716616153717041,0.00020000000949949026,0.054994046688079834,0.5192000269889832,0.9880636930465698,0.9814370274543762,0.9959744215011597,0.9844550490379333,0.3550878167152405,0.27738600969314575,0.3484621047973633,0.19728903472423553,0.04894865304231644,0.45845770835876465,0.9883689880371094,0.9814462661743164,0.9960657954216003
8,0.9857894778251648,0.3507654368877411,0.3004904091358185,0.29908329248428345,0.20225054025650024,0.00020000000949949026,0.049213871359825134,0.5282169580459595,0.9899954199790955,0.9816115498542786,0.9965831637382507,0.9864423274993896,0.3771182596683502,0.40522700548171997,0.34144479036331177,0.2470247745513916,0.04334167391061783,0.4332282841205597,0.9923946261405945,0.9798808693885803,0.9973178505897522
9,0.9860354661941528,0.3639709949493408,0.35693758726119995,0.3120374381542206,0.2021024525165558,0.00020000000949949026,0.047502368688583374,0.4712549149990082,0.9904235005378723,0.9817157983779907,0.9967188835144043,0.9862548112869263,0.37885764241218567,0.40338823199272156,0.29789066314697266,0.21331757307052612,0.04420599713921547,0.43412643671035767,0.9891970753669739,0.9836509227752686,0.9963395595550537
